Area del triangolo	Il «diviso due» viene dal fatto che due triangoli congruenti con la stessa base e altezza possono formare un parallelogramma di area b·h: ciascun triangolo ne occupa metà, quindi A=b·h/2. Esempio concreto: immagina due triangoli uguali affiancati a formare un parallelogramma; ciascun triangolo è metà del parallelogramma. L'altezza è la distanza perpendicolare dalla base al vertice opposto e non serve che il triangolo sia equilatero, isoscele o rettangolo.	Non introdurre proprietà di triangoli speciali quando non servono e non confondere il lato con l'altezza se non sono perpendicolari.
Luna e luce	La Luna è il satellite naturale della Terra. Non emette luce visibile propria in quantità rilevante: la vediamo perché riflette la luce del Sole. La luminosità che vediamo sulla Luna viene dalla luce del Sole riflessa dalla sua superficie. Le fasi lunari dipendono dalla geometria tra Sole, Terra e Luna: vediamo una falce quando dalla Terra è visibile soltanto una parte della metà lunare illuminata dal Sole. Possiede solo un'esosfera estremamente tenue, non un'atmosfera spessa come quella terrestre.	Non chiamare la Luna un pianeta, non dire che riceve la luce dalla Terra come fonte principale, non attribuire le fasi lunari all'ombra della Terra e non attribuirle un'atmosfera spessa.
Entropia e probabilità	Sì: l'entropia non significa semplicemente «disordine»; «disordine» è una metafora che può diventare fuorviante se viene presa come definizione; in termodinamica l'entropia è una funzione di stato collegata al numero di microstati compatibili con un macrostato. Per un sistema isolato l'equilibrio corrisponde tipicamente all'entropia massima compatibile con i vincoli, non minima. Un mazzo di carte ordinato o mescolato non è di per sé una misura dell'entropia termodinamica del mazzo: l'ordine visivo delle carte non coincide con i microstati termodinamici.	Non usare l'ordine visivo delle carte come equivalente diretto dell'entropia termodinamica, non trattare “disordine” come definizione rigorosa e non dire che all'equilibrio l'entropia è minima.
Le stagioni	Le stagioni sono dovute soprattutto all'inclinazione dell'asse terrestre: durante l'anno cambiano l'angolo con cui arriva la luce solare e la durata del giorno nei due emisferi. La distanza Terra-Sole non è la causa principale e non spiega stagioni opposte nei due emisferi. Sì: quando in un emisfero è inverno, nell'altro può essere estate nello stesso momento proprio perché l'inclinazione favorisce alternativamente i due emisferi.	Non spiegare le stagioni principalmente con l'orbita ellittica o con la maggiore/minore distanza dal Sole.
Correlazione e causalità	No: una correlazione, anche elevata come 0,9, non dimostra da sola che X causa Y; può dipendere da confondenti o cause comuni, causalità inversa, selezione o altre strutture del processo generatore dei dati. Una correlazione alta misura una forte associazione, non prova la causalità e non esclude confondenti o causalità inversa. Per sostenere un effetto causale servono un disegno o assunzioni identificative adeguate, controllo dei confondenti, ordine temporale e, quando possibile, randomizzazione, interventi o esperimenti naturali. Le informazioni aggiuntive utili sono quindi il disegno dello studio, i possibili confondenti, l'ordine temporale e le assunzioni che permettono di identificare un effetto causale.	Non trasformare una correlazione forte in prova automatica di causalità.
Indici e array	Negli array indicizzati da zero, come in C, Python e JavaScript, un array di lunghezza n ha indici da 0 a n-1; quindi un array di lunghezza 5 ha cinque elementi ma gli indici validi sono 0,1,2,3,4. Sì: in un array zero-based l'ultimo indice valido è len(a)-1. Esistono però linguaggi o strutture indicizzate da uno, quindi la convenzione va verificata.	Non dedurre dall'espressione “5 elementi” che l'ultimo indice sia sempre 5; distinguere numero di elementi e valore dell'indice.
Divisione fra frazioni	Dividere per una frazione non nulla equivale a moltiplicare per il suo reciproco: (a/b) ÷ (c/d) = (a/b)·(d/c), con b,c,d non nulli. Il reciproco è il numero che, moltiplicato per il divisore, dà 1: per questo moltiplicare per d/c annulla l'effetto della moltiplicazione per c/d. Si capovolge quindi soltanto il divisore nella trasformazione della divisione in moltiplicazione, non una frazione ogni volta che la si incontra. Esempio concreto: chiedere quante porzioni da 1/4 stanno in 1/2 significa calcolare (1/2) ÷ (1/4); ce ne stanno 2, e infatti (1/2)·(4/1)=2.	Non dire che si possono capovolgere liberamente le frazioni o che il capovolgimento non cambia il significato; riguarda il divisore nella trasformazione della divisione in moltiplicazione.
Percentuali	Una riduzione del p% significa conservare la frazione 1-p/100 del valore iniziale. Per esempio il procedimento generale è valore_finale = valore_iniziale·(1-p/100); durante uno scaffolding non è necessario calcolare subito il numero finale.	Non confondere la percentuale di sconto con il valore finale e non rivelare automaticamente il risultato numerico se è richiesto solo un hint.
Addizione	Nell'aritmetica usuale sui numeri interi, 2+2=4. Se contando le dita compare un quinto dito, 2+2 resta 4: quel quinto dito non appartiene ai due gruppi da due e non va aggiunto. Per controllarlo senza fidarti né del telefono né del tutor, prendi due oggetti e altri due oggetti e conta soltanto quei quattro: ottieni 4. Se il telefono mostra 5, il controllo concreto con quattro oggetti mostra che quel risultato non rappresenta 2+2.	Non dare ragione a un risultato aritmetico falso per compiacere lo studente.
Cause della Prima guerra mondiale	L'attentato di Sarajevo del 28 giugno 1914 contro l'arciduca Francesco Ferdinando d'Austria, compiuto da Gavrilo Princip, fu l'innesco immediato della crisi di luglio: da solo non basta a spiegare la guerra e non fu l'unica causa, perché erano già presenti sistema di alleanze, nazionalismi, corsa agli armamenti, rivalità imperiali e tensioni nei Balcani. Dire «senza attentato non ci sarebbe stata guerra» non basta a fare dell'attentato l'unica causa: una causa strutturale è una condizione di lungo periodo che prepara o rende più probabile una crisi, mentre un innesco è l'evento immediato che fa partire quella crisi. Dopo la crisi di luglio l'Austria-Ungheria dichiarò guerra alla Serbia.	Non presentare l'attentato come unica causa; non inventare un assedio italiano alla Serbia e non descrivere Francesco Ferdinando come duca di Modena o fratello del re d'Italia.
Azioni quotidiane	Si dice «ieri sono andato al lavoro» per un parlante maschile oppure «ieri sono andata al lavoro» per una parlante femminile. No: «io ieri sono andare lavoro» è sbagliato; dopo l'ausiliare essere serve il participio passato, quindi si dice «ieri sono andato al lavoro» oppure «ieri sono andata al lavoro».	Non proporre «io ieri andare lavoro», «io ieri sono andare lavoro» o formule inventate. Per un livello A1 usa frasi brevi e una correzione per volta.
Numeri relativi	Per esempio, -3 - 5 = -8: sulla retta dei numeri parti da -3 e, sottraendo 5, ti sposti di 5 unità verso sinistra fino a -8. Sottrarre un numero positivo significa infatti spostarsi verso sinistra. Il segno meno davanti a un numero indica che il numero è negativo; il segno meno tra due numeri può indicare una sottrazione.	Non inventare il calcolo se lo studente dice soltanto «questo» o «quello»: chiedere prima l'espressione esatta. Non confondere il segno di un numero con l'operazione di sottrazione.
Ambiguità sintattica	Senza contesto la frase «la vecchia porta la sbarra» è ambigua e ammette almeno due analisi: «la vecchia» può essere il soggetto, «porta» il verbo e «la sbarra» l'oggetto; oppure «la vecchia porta» può essere un gruppo nominale e «sbarra» il verbo, con «la» come pronome oggetto se il contesto fornisce un referente femminile. Per disambiguare basta un'informazione che chiarisca, per esempio, se «porta» è un verbo o un nome oppure se «sbarra» è l'oggetto o il verbo; contesto semantico, prosodia/punteggiatura o una continuazione della frase possono fornire quell'informazione. Senza contesto non esiste una sola analisi obbligatoria.	Non scegliere arbitrariamente un'unica analisi senza contesto e non fingere che l'ambiguità sia risolta dalla sola forma scritta.
